District,State,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U,Total
Southeastern,AL,18,0,4,4,4,7,8,4,6,55
Pacific,AK,773,15,38,112,125,167,178,114,121,1643
Rocky Mountain,AZ,170,4,19,26,38,37,45,11,10,360
Southeastern,AR,1,0,0,1,2,1,3,2,0,10
Pacific,CA,704,20,47,98,112,102,73,54,25,1235
Rocky Mountain,CO,978,17,81,114,207,196,144,127,66,1930
New England,CT,258,10,65,188,297,353,285,221,187,1864
Atlantic,DE,49,1,7,4,3,4,3,0,1,72
Southeastern,DC,35,3,11,3,5,15,7,4,1,84
Southeastern,FL,319,8,31,37,58,61,56,25,34,629
Southeastern,GA,57,3,5,9,10,12,11,6,9,122
Pacific,HI,0,0,0,0,0,0,0,0,0,0
Rocky Mountain,ID,188,5,22,26,39,35,27,25,20,387
Central,IL,382,21,145,205,236,244,314,223,153,1923
Mid-American,IN,100,7,26,23,34,34,23,24,16,287
Central,IA,31,5,10,20,18,20,30,19,35,188
Central,KS,11,0,4,3,4,10,10,9,5,56
Mid-American,KY,19,1,19,17,15,16,11,5,6,109
Southeastern,LA,15,2,2,5,2,1,0,2,0,29
New England,ME,184,15,102,232,192,176,112,114,119,1246
Southeastern,MD,216,7,70,110,113,94,59,26,12,707
Massachusetts,MA,887,31,315,642,946,1203,1130,1160,1332,7646
Michigan,MI,1326,54,250,420,493,582,531,399,350,4405
Minnkota,MN,1044,59,177,380,1296,1959,2009,1714,1225,9863
Southeastern,MS,1,0,0,1,0,4,3,2,2,13
Central,MO,88,11,14,29,36,34,48,25,17,302
Rocky Mountain,MT,231,11,20,48,52,54,51,39,49,555
Central,NE,8,0,4,7,7,3,10,16,13,68
Pacific,NV,20,1,3,3,9,7,2,0,2,47
New England,NH,278,3,60,93,155,131,153,111,110,1094
Atlantic,NJ,209,5,48,117,168,154,139,85,31,956
Rocky Mountain,NM,71,0,10,11,20,19,21,12,17,181
New York,NY,691,47,261,466,530,632,564,465,466,4122
Southeastern,NC,147,8,16,16,28,23,18,13,2,271
Minnkota,ND,32,5,67,102,159,191,133,84,80,853
Mid-American,OH,308,8,56,82,99,130,126,86,52,947
Rocky Mountain,OK,2,0,4,2,4,4,0,2,4,22
Pacific,OR,60,4,20,19,8,7,7,7,0,132
Atlantic,E PA,384,12,115,198,133,104,85,44,14,1089
Mid-American,W PA,154,17,62,73,89,95,64,45,33,632
New England,RI,91,1,16,56,89,102,93,110,133,691
Southeastern,SC,43,1,9,7,2,7,9,9,9,96
Minnkota,SD,8,3,37,58,54,37,34,33,36,300
Southeastern,TN,46,0,3,23,15,10,10,4,6,117
Rocky Mountain,TX,121,4,26,53,55,45,36,17,9,366
Rocky Mountain,UT,151,9,22,34,32,27,11,18,7,311
New England,VT,316,18,56,93,201,196,161,130,135,1306
Southeastern,VA,174,16,31,58,51,48,39,25,13,455
Pacific,WA,427,8,30,41,26,57,61,49,38,737
Mid-American,WV,19,7,9,18,18,12,19,14,21,137
Central,WI,376,32,214,308,471,491,468,407,455,3222
Rocky Mountain,WY,102,1,22,27,33,26,27,27,25,290
