District,State,Total,20&over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,78,47,3,3,6,6,5,2,4,2
Atlantic,E PA,1426,518,32,132,175,157,189,118,69,36
Atlantic,NJ,1209,246,13,64,112,175,209,172,142,76
Central,IL,2593,612,32,165,246,311,317,388,296,226
Central,IA,259,52,14,19,17,29,30,37,24,37
Central,KS,83,23,2,4,10,9,7,8,11,9
Central,MO,469,136,2,19,34,27,45,72,59,75
Central,NE,127,7,1,7,5,20,17,17,28,25
Central,WI,3188,564,19,169,209,376,485,459,402,505
Massachusetts,MA,9462,1247,45,481,885,1244,1502,1448,1265,1345
Michigan,MI,4648,1666,81,255,396,440,492,454,431,433
Mid-American,IN,405,126,10,22,26,46,49,48,42,36
Mid-American,KY,135,47,0,16,15,12,10,12,11,12
Mid-American,OH,1044,342,17,65,72,103,130,131,111,73
Mid-American,W PA,1095,178,23,82,84,119,138,132,162,177
Mid-American,WV,134,16,1,8,14,9,15,19,16,36
Minnesota,MN,12358,1649,82,349,734,1628,2186,2124,1914,1692
New England,CT,2379,371,17,108,200,309,372,378,308,316
New England,ME,1114,156,14,62,84,153,179,164,131,171
New England,NH,1037,162,8,59,124,149,151,123,122,139
New England,RI,708,116,7,43,59,94,92,78,93,126
New England,VT,1305,302,13,46,70,170,182,176,152,194
New York,NY,5409,1015,63,277,451,673,760,777,653,740
Northern Plains,MT,857,444,5,46,62,55,83,50,55,57
Northern Plains,ND,1080,34,5,61,81,160,204,205,167,163
Northern Plains,SD,424,27,2,52,56,51,59,59,49,69
Northern Plains,WY,369,123,3,27,39,40,30,36,26,45
Pacific,AK,1763,884,26,72,94,129,137,135,112,174
Pacific,CA,1766,1022,21,62,100,138,131,125,98,69
Pacific,NV,68,29,0,3,6,6,4,11,4,5
Pacific,OR,150,84,0,9,9,11,6,9,11,11
Pacific,WA,848,497,13,30,37,36,56,61,49,69
Rocky Mountain,AZ,301,118,3,22,33,31,26,30,13,25
Rocky Mountain,CO,2149,1055,52,108,154,164,181,181,132,122
Rocky Mountain,ID,584,306,6,26,37,47,37,43,47,35
Rocky Mountain,NM,189,71,1,11,10,20,19,21,16,20
Rocky Mountain,OK,39,12,1,2,2,8,3,8,3,0
Rocky Mountain,TX,721,399,9,26,53,53,49,61,37,34
Rocky Mountain,UT,412,208,7,15,32,45,30,44,20,11
Southeastern,AL,79,35,2,4,3,9,7,5,6,8
Southeastern,AR,19,4,1,3,2,0,2,1,3,3
Southeastern,DC,160,82,0,6,6,12,12,16,15,11
Southeastern,FL,623,320,3,28,26,41,60,56,41,48
Southeastern,GA,140,55,1,6,7,14,22,18,10,7
Southeastern,LA,37,25,0,0,2,0,2,2,3,3
Southeastern,MD,955,318,14,60,81,115,128,114,70,55
Southeastern,MS,18,5,1,0,1,3,2,1,3,2
Southeastern,NC,433,186,4,19,24,45,45,48,33,29
Southeastern,SC,66,22,0,5,9,4,3,9,2,12
Southeastern,TN,142,53,0,4,11,17,18,14,17,8
Southeastern,VA,643,236,13,23,57,75,70,81,41,47
Totals,,65700,16252,692,3185,5062,7588,8988,8781,7529,7623
