District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,124,27,3,6,10,15,20,19,10,14
Atlantic,E PA,1908,520,39,183,247,237,231,218,150,83
Atlantic,NJ,2246,332,29,159,247,259,297,339,356,228
Central,IL,3224,763,43,238,342,380,421,437,334,266
Central,IA,457,57,3,12,36,61,54,74,74,86
Central,KS,170,51,1,5,13,23,21,19,18,19
Central,MO,1335,248,15,50,91,150,178,225,202,176
Central,NE,261,28,2,24,22,37,44,37,35,32
Central,WI,4940,679,29,132,263,552,686,762,813,1024
Massachusetts,MA,11444,1286,102,710,1117,1489,1607,1667,1648,1818
Michigan,MI,5359,1459,103,334,382,493,610,618,656,704
Mid-American,IN,646,130,12,39,56,71,91,90,95,62
Mid-American,KY,199,71,0,8,7,16,27,24,23,23
Mid-American,OH,1763,314,32,85,110,198,223,289,272,240
Mid-American,W PA,1459,201,30,75,128,196,213,237,230,149
Mid-American,WV,171,53,4,12,8,17,23,20,19,15
Minnesota,MN,15355,1965,58,399,876,1819,2448,2594,2597,2599
New England,CT,2708,221,33,156,277,406,397,384,419,415
New England,ME,1194,86,14,40,85,134,151,183,192,309
New England,NH,1169,136,12,81,101,145,163,172,175,184
New England,RI,676,107,9,48,72,77,88,85,76,114
New England,VT,1194,126,16,50,73,167,164,176,190,232
New York,NY,6938,977,114,336,534,712,801,1020,1146,1298
Northern Plains,MT,1211,532,7,42,68,86,116,121,116,123
Northern Plains,ND,1679,54,16,73,146,210,273,307,311,289
Northern Plains,SD,571,9,9,49,70,83,90,91,75,95
Northern Plains,WY,500,99,10,34,46,69,58,44,68,72
Pacific,AK,2228,914,14,85,123,158,184,198,231,321
Pacific,CA,3232,1156,30,120,236,322,376,391,360,241
Pacific,HI,20,13,0,0,0,0,1,4,2,0
Pacific,NV,450,134,4,11,34,49,68,70,53,27
Pacific,OR,367,185,3,24,22,32,27,46,14,14
Pacific,WA,1936,862,22,56,116,128,186,204,210,152
Rocky Mountain,AZ,1060,308,15,42,89,98,109,153,139,107
Rocky Mountain,CO,3291,1233,37,147,240,269,354,343,375,293
Rocky Mountain,ID,943,418,4,35,58,65,77,79,105,102
Rocky Mountain,NM,299,96,2,15,22,29,36,41,36,22
Rocky Mountain,OK,95,16,2,3,4,10,16,13,13,18
Rocky Mountain,TX,1342,407,12,47,89,142,175,177,170,123
Rocky Mountain,UT,580,259,10,30,56,53,59,45,39,29
Southeastern,AL,217,60,5,3,11,24,29,27,30,28
Southeastern,AR,50,7,0,0,3,5,7,9,13,6
Southeastern,DC,267,111,6,9,22,27,32,17,26,17
Southeastern,FL,1517,583,21,63,105,123,178,198,157,89
Southeastern,GA,210,57,5,13,23,18,26,23,24,21
Southeastern,LA,17,5,0,0,1,1,3,4,2,1
Southeastern,MD,1521,446,20,123,178,195,170,166,145,78
Southeastern,MS,21,8,0,0,1,2,0,4,3,3
Southeastern,NC,852,209,8,36,64,94,118,135,121,67
Southeastern,SC,208,75,1,12,17,28,22,14,18,21
Southeastern,TN,430,104,1,30,39,32,37,57,71,59
Southeastern,VA,1200,336,28,56,118,140,142,146,136,98
Total,nan,91254,18533,995,4340,7098,10146,11927,12816,12793,12606
