Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2006,Atlantic,DE,-15,-11,0,-3,-1,1,-2,1,1,-1
2006,Atlantic,NJ,141,14,5,13,28,10,26,21,-3,27
2006,Atlantic,E PA,68,0,8,22,-46,34,25,5,13,7
2006,Central,IL,38,37,9,-15,23,-19,34,-30,5,-6
2006,Central,IA,-4,3,-3,2,2,-2,7,-12,2,-3
2006,Central,KS,-4,3,1,-4,-1,1,3,0,-4,-3
2006,Central,MO,14,8,-7,7,-1,-5,7,-1,4,2
2006,Central,NE,17,9,1,3,-1,-1,4,0,4,-2
2006,Central,WI,91,58,2,-56,10,-39,48,13,11,44
2006,Massachusetts,MA,134,49,1,18,66,99,14,62,-15,-160
2006,Michigan,MI,207,154,31,11,14,42,-37,-6,-12,10
2006,Mid-American,IN,19,7,-2,-4,-2,7,-3,1,0,15
2006,Mid-American,KY,28,7,3,0,8,3,6,-2,0,3
2006,Mid-American,OH,93,40,0,-2,-5,20,14,-10,5,31
2006,Mid-American,W PA,28,-17,3,6,2,-8,5,9,14,14
2006,Mid-American,WV,-15,-4,-7,0,-2,-1,0,-4,0,3
2006,Minnkota,MN,839,191,-1,37,92,-3,168,99,126,130
2006,Minnkota,ND,42,-2,6,-6,-2,7,-3,-2,32,11
2006,Minnkota,SD,51,2,6,3,7,3,16,-5,9,10
2006,New England,CT,265,16,2,33,44,36,10,22,49,53
2006,New England,ME,60,-1,-4,39,-18,23,-15,0,11,25
2006,New England,NH,90,24,4,-10,15,0,20,15,15,7
2006,New England,RI,64,14,6,13,9,5,6,11,1,-1
2006,New England,VT,-13,-7,-10,5,14,-20,-5,-12,-1,23
2006,New York,NY,440,127,12,-47,5,68,23,60,81,111
2006,Pacific,AK,42,14,-8,21,-29,36,6,-6,5,3
2006,Pacific,CA,114,71,8,18,-11,-2,-4,19,13,2
2006,Pacific,HI,3,2,0,0,0,1,0,0,0,0
2006,Pacific,NV,9,0,-1,-3,4,0,-2,5,2,4
2006,Pacific,OR,27,26,0,-4,-3,-1,4,2,-1,4
2006,Pacific,WA,2,1,2,5,-13,26,2,-7,-18,4
2006,Rocky Mountain,AZ,-75,-64,-1,-9,7,-12,9,-15,7,3
2006,Rocky Mountain,CO,101,41,4,1,38,10,-14,15,-2,8
2006,Rocky Mountain,ID,61,34,-1,-5,9,2,8,4,1,9
2006,Rocky Mountain,MT,-9,11,-4,-1,-4,-4,-5,-7,3,2
2006,Rocky Mountain,NM,11,-6,3,-2,4,7,5,-5,7,-2
2006,Rocky Mountain,OK,-2,1,0,-2,-1,0,1,1,0,-2
