Year,State,Total
1991,AK,143
1991,AL,4
1991,AR,0
1991,AZ,16
1991,CA,51
1991,CO,91
1991,CT,117
1991,DC,-8
1991,DE,-2
1991,FL,16
1991,GA,1
1991,HI,-1
1991,IA,8
1991,ID,13
1991,IL,34
1991,IN,31
1991,KS,2
1991,KY,-21
1991,LA,1
1991,MA,207
1991,MD,18
1991,ME,370
1991,MI,127
1991,MN,127
1991,MO,3
1991,MS,0
1991,MT,12
1991,NC,13
1991,ND,10
1991,NE,2
1991,NH,118
1991,NJ,25
1991,NM,-4
1991,NV,2
1991,NY,227
1991,OH,-76
1991,OK,0
1991,OR,-1
1991,PA,12
1991,RI,26
1991,SC,1
1991,SD,11
1991,TN,-1
1991,TX,4
1991,UT,0
1991,VA,-6
1991,VT,38
1991,WA,6
1991,WI,170
1991,WV,18
1991,WY,0
1992,AK,50
1992,AL,2
1992,AR,0
1992,AZ,32
1992,CA,104
1992,CO,-7
1992,CT,39
1992,DC,6
1992,DE,-1
1992,FL,9
1992,GA,0
1992,HI,1
1992,IA,-1
1992,ID,52
1992,IL,61
1992,IN,-9
1992,KS,0
1992,KY,11
1992,LA,-1
1992,MA,255
1992,MD,4
1992,ME,23
1992,MI,210
1992,MN,178
1992,MO,18
1992,MS,0
1992,MT,14
1992,NC,10
1992,ND,27
1992,NE,5
1992,NH,54
1992,NJ,76
1992,NM,14
1992,NV,6
1992,NY,276
1992,OH,76
1992,OK,0
1992,OR,2
1992,PA,53
1992,RI,40
1992,SC,1
1992,SD,6
1992,TN,0
1992,TX,6
1992,UT,1
1992,VA,10
1992,VT,115
1992,WA,99
1992,WI,164
1992,WV,19
1992,WY,15
1993,AK,126
1993,AL,11
1993,AR,2
1993,AZ,42
1993,CA,242
1993,CO,95
1993,CT,106
1993,DC,0
1993,DE,2
1993,FL,34
1993,GA,8
1993,HI,-1
1993,IA,28
1993,ID,-20
1993,IL,98
1993,IN,23
1993,KS,13
1993,KY,-3
1993,LA,0
1993,MA,328
1993,MD,42
1993,ME,-17
1993,MI,340
1993,MN,704
1993,MO,49
1993,MS,1
1993,MT,47
1993,NC,-7
1993,ND,8
1993,NE,1
1993,NH,31
1993,NJ,53
1993,NM,1
1993,NV,17
1993,NY,395
1993,OH,109
1993,OK,7
1993,OR,22
1993,PA,112
1993,RI,-2
1993,SC,3
1993,SD,2
1993,TN,14
1993,TX,14
1993,UT,12
1993,VA,26
1993,VT,64
1993,WA,50
1993,WI,177
1993,WV,4
1993,WY,12
1994,AK,68
1994,AL,15
1994,AR,0
1994,AZ,16
1994,CA,182
1994,CO,42
1994,CT,179
1994,DC,12
1994,DE,3
1994,FL,34
1994,GA,6
1994,HI,0
1994,IA,28
1994,ID,18
1994,IL,211
1994,IN,32
1994,KS,9
1994,KY,0
1994,LA,2
1994,MA,635
1994,MD,58
1994,ME,178
1994,MI,489
1994,MN,970
1994,MO,8
1994,MS,-1
1994,MT,37
1994,NC,34
1994,ND,63
1994,NE,0
1994,NH,92
1994,NJ,119
1994,NM,2
1994,NV,-3
1994,NY,401
1994,OH,121
1994,OK,8
1994,OR,11
1994,PA,211
1994,RI,79
1994,SC,10
1994,SD,33
1994,TN,9
1994,TX,27
1994,UT,13
1994,VA,35
