Year,District,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2008,Atlantic,-28,-35,10,-27,11,-25,10,-33,30,31
2008,Central,-209,-111,-12,29,-72,52,-78,0,-68,51
2008,Massachusetts,277,-121,-2,-5,45,41,38,-2,159,124
2008,Michigan,-119,-134,-3,-19,6,-54,-43,-13,-5,146
2008,Mid-American,97,-108,4,17,27,17,3,7,32,98
2008,Minnesota,224,-42,-5,18,-12,86,41,-3,-7,148
2008,New England,-51,-83,32,-29,-37,-8,-7,-22,-44,147
2008,New York,273,52,0,-23,63,-3,-2,104,27,55
2008,Northern Plains,-61,-13,1,-4,-31,-5,-18,-6,-4,19
2008,Pacific,-83,-57,-9,-49,51,-4,-24,-20,4,25
2008,Rocky Mountain,-121,-47,0,26,-41,-62,3,-22,-27,49
2008,Southeastern,-123,-108,18,-6,-7,-23,-38,26,-21,36
2009,Atlantic,1,82,-16,16,-25,-6,-30,54,-38,-36
2009,Central,320,203,30,8,35,-14,-26,30,51,3
2009,Massachusetts,507,170,4,52,83,-37,107,67,-21,82
2009,Michigan,56,126,19,17,17,-33,-17,35,-39,-69
2009,Mid-American,116,87,-6,18,9,-39,25,10,31,-19
2009,Minnesota,537,129,3,15,72,54,136,-1,-7,136
2009,New England,7,80,-4,9,-24,-81,-7,15,25,-6
2009,New York,264,167,30,14,-9,-26,36,-28,15,65
2009,Northern Plains,100,59,6,11,20,-30,32,30,-17,-11
2009,Pacific,110,57,6,40,-11,-12,10,0,4,16
2009,Rocky Mountain,28,12,10,39,-38,-25,-7,31,23,-17
2009,Southeastern,60,21,14,-25,22,-19,19,22,35,-29
2010,Atlantic,162,36,26,-18,-11,-8,16,53,23,45
2010,Central,506,165,-2,-12,51,-67,88,63,134,86
2010,Massachusetts,552,195,10,-11,2,59,-41,73,81,184
2010,Michigan,454,209,13,10,-40,27,46,58,54,77
2010,Mid-American,281,56,7,4,22,-13,-10,27,57,131
2010,Minnesota,323,101,-7,-5,22,20,20,-48,78,142
2010,New England,185,65,15,-12,-19,-1,15,34,9,79
2010,New York,270,61,-16,38,-15,-11,70,16,75,52
2010,Northern Plains,321,73,-1,20,19,-2,33,66,45,68
