Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
1990,,AK,206,,,,,,,,,
1990,,AL,4,,,,,,,,,
1990,,AR,1,,,,,,,,,
1990,,AZ,15,,,,,,,,,
1990,,CA,122,,,,,,,,,
1990,,CO,94,,,,,,,,,
1990,,CT,264,,,,,,,,,
1990,,DC,18,,,,,,,,,
1990,,DE,9,,,,,,,,,
1990,,FL,6,,,,,,,,,
1990,,GA,7,,,,,,,,,
1990,,HI,1,,,,,,,,,
1990,,IA,14,,,,,,,,,
1990,,ID,18,,,,,,,,,
1990,,IL,187,,,,,,,,,
1990,,IN,40,,,,,,,,,
1990,,KS,3,,,,,,,,,
1990,,KY,32,,,,,,,,,
1990,,LA,0,,,,,,,,,
1990,,MA,1268,,,,,,,,,
1990,,MD,56,,,,,,,,,
1990,,ME,92,,,,,,,,,
1990,,MI,610,,,,,,,,,
1990,,MN,961,,,,,,,,,
1990,,MO,38,,,,,,,,,
1990,,MS,0,,,,,,,,,
1990,,MT,18,,,,,,,,,
1990,,NC,16,,,,,,,,,
1990,,ND,44,,,,,,,,,
1990,,NE,6,,,,,,,,,
1990,,NH,110,,,,,,,,,
1990,,NJ,178,,,,,,,,,
1990,,NM,14,,,,,,,,,
1990,,NV,4,,,,,,,,,
1990,,NY,786,,,,,,,,,
1990,,OH,187,,,,,,,,,
1990,,OK,2,,,,,,,,,
1990,,OR,39,,,,,,,,,
1990,,PA,117,,,,,,,,,
1990,,RI,148,,,,,,,,,
1990,,SC,0,,,,,,,,,
1990,,SD,14,,,,,,,,,
1990,,TN,9,,,,,,,,,
1990,,TX,14,,,,,,,,,
1990,,UT,28,,,,,,,,,
1990,,VA,23,,,,,,,,,
1990,,VT,98,,,,,,,,,
1990,,WA,105,,,,,,,,,
1990,,WI,201,,,,,,,,,
1990,,WV,82,,,,,,,,,
1990,,WY,27,,,,,,,,,
1991,,AK,349,,,,,,,,,
1991,,AL,8,,,,,,,,,
1991,,AR,1,,,,,,,,,
1991,,AZ,31,,,,,,,,,
1991,,CA,173,,,,,,,,,
1991,,CO,185,,,,,,,,,
1991,,CT,381,,,,,,,,,
1991,,DC,10,,,,,,,,,
1991,,DE,7,,,,,,,,,
1991,,FL,22,,,,,,,,,
1991,,GA,8,,,,,,,,,
1991,,HI,0,,,,,,,,,
1991,,IA,22,,,,,,,,,
1991,,ID,31,,,,,,,,,
1991,,IL,221,,,,,,,,,
1991,,IN,71,,,,,,,,,
1991,,KS,5,,,,,,,,,
1991,,KY,11,,,,,,,,,
1991,,LA,1,,,,,,,,,
1991,,MA,1475,,,,,,,,,
1991,,MD,74,,,,,,,,,
1991,,ME,462,,,,,,,,,
1991,,MI,737,,,,,,,,,
1991,,MN,1088,,,,,,,,,
1991,,MO,41,,,,,,,,,
1991,,MS,0,,,,,,,,,
1991,,MT,30,,,,,,,,,
1991,,NC,29,,,,,,,,,
1991,,ND,54,,,,,,,,,
1991,,NE,8,,,,,,,,,
1991,,NH,228,,,,,,,,,
1991,,NJ,203,,,,,,,,,
1991,,NM,10,,,,,,,,,
1991,,NV,6,,,,,,,,,
1991,,NY,1013,,,,,,,,,
1991,,OH,111,,,,,,,,,
1991,,OK,2,,,,,,,,,
1991,,OR,38,,,,,,,,,
1991,,PA,129,,,,,,,,,
1991,,RI,174,,,,,,,,,
1991,,SC,1,,,,,,,,,
1991,,SD,25,,,,,,,,,
1991,,TN,8,,,,,,,,,
1991,,TX,18,,,,,,,,,
1991,,UT,28,,,,,,,,,
1991,,VA,17,,,,,,,,,
1991,,VT,136,,,,,,,,,
1991,,WA,111,,,,,,,,,
1991,,WI,371,,,,,,,,,
1991,,WV,100,,,,,,,,,
1991,,WY,27,,,,,,,,,
1992,,AK,399,,,,,,,,,
1992,,AL,10,,,,,,,,,
1992,,AR,1,,,,,,,,,
1992,,AZ,63,,,,,,,,,
1992,,CA,277,,,,,,,,,
1992,,CO,178,,,,,,,,,
1992,,CT,420,,,,,,,,,
1992,,DC,16,,,,,,,,,
1992,,DE,6,,,,,,,,,
1992,,FL,31,,,,,,,,,
1992,,GA,8,,,,,,,,,
1992,,HI,1,,,,,,,,,
1992,,IA,21,,,,,,,,,
1992,,ID,83,,,,,,,,,
1992,,IL,282,,,,,,,,,
1992,,IN,62,,,,,,,,,
1992,,KS,5,,,,,,,,,
1992,,KY,22,,,,,,,,,
1992,,LA,0,,,,,,,,,
1992,,MA,1730,,,,,,,,,
1992,,MD,78,,,,,,,,,
1992,,ME,485,,,,,,,,,
1992,,MI,947,,,,,,,,,
1992,,MN,1266,,,,,,,,,
1992,,MO,59,,,,,,,,,
1992,,MS,0,,,,,,,,,
1992,,MT,44,,,,,,,,,
1992,,NC,39,,,,,,,,,
1992,,ND,81,,,,,,,,,
1992,,NE,13,,,,,,,,,
1992,,NH,282,,,,,,,,,
1992,,NJ,279,,,,,,,,,
1992,,NM,24,,,,,,,,,
1992,,NV,12,,,,,,,,,
1992,,NY,1289,,,,,,,,,
1992,,OH,187,,,,,,,,,
1992,,OK,2,,,,,,,,,
1992,,OR,40,,,,,,,,,
1992,,PA,182,,,,,,,,,
1992,,RI,214,,,,,,,,,
1992,,SC,2,,,,,,,,,
1992,,SD,31,,,,,,,,,
1992,,TN,8,,,,,,,,,
1992,,TX,24,,,,,,,,,
1992,,UT,29,,,,,,,,,
1992,,VA,27,,,,,,,,,
1992,,VT,251,,,,,,,,,
1992,,WA,210,,,,,,,,,
1992,,WI,535,,,,,,,,,
1992,,WV,119,,,,,,,,,
1992,,WY,42,,,,,,,,,
1993,,AK,525,,,,,,,,,
1993,,AL,21,,,,,,,,,
1993,,AR,3,,,,,,,,,
1993,,AZ,105,,,,,,,,,
1993,,CA,519,,,,,,,,,
1993,,CO,273,,,,,,,,,
1993,,CT,526,,,,,,,,,
1993,,DC,16,,,,,,,,,
1993,,DE,8,,,,,,,,,
1993,,FL,65,,,,,,,,,
