Year,District,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2007,Atlantic,2465,701,44,246,322,335,296,243,177,101
2007,Central,6083,1105,62,332,580,790,908,812,745,749
2007,Massachusetts,7766,1053,53,396,708,1084,1209,1235,1001,1027
2007,Michigan,4492,1496,60,288,423,517,499,463,409,337
2007,Mid-American,2339,691,38,138,229,297,283,273,199,191
2007,Minnesota,11489,1330,77,326,655,1404,2131,2281,1895,1390
2007,New England,6724,1139,25,379,681,985,995,887,789,844
2007,New York,4727,810,40,280,462,640,666,633,592,604
2007,Northern Plains,2154,419,21,156,265,323,276,254,238,202
2007,Pacific,4131,2203,54,172,223,332,347,329,239,232
2007,Rocky Mountain,4085,1984,49,199,404,405,345,303,234,162
2007,Southeastern,2975,1266,40,216,294,309,284,238,185,143
2008,Atlantic,2437,666,54,219,333,310,306,210,207,132
2008,Central,5874,994,50,361,508,842,830,812,677,800
2008,Massachusetts,8043,932,51,391,753,1125,1247,1233,1160,1151
2008,Michigan,4373,1362,57,269,429,463,456,450,404,483
2008,Mid-American,2436,583,42,155,256,314,286,280,231,289
2008,Minnesota,11713,1288,72,344,643,1490,2172,2278,1888,1538
2008,New England,6673,1056,57,350,644,977,988,865,745,991
2008,New York,5000,862,40,257,525,637,664,737,619,659
2008,Northern Plains,2093,406,22,152,234,318,258,248,234,221
2008,Pacific,4048,2146,45,123,274,328,323,309,243,257
2008,Rocky Mountain,3964,1937,49,225,363,343,348,281,207,211
2008,Southeastern,2852,1158,58,210,287,286,246,264,164,179
2009,Atlantic,2438,748,38,235,308,304,276,264,169,96
2009,Central,6194,1197,80,369,543,828,804,842,728,803
2009,Massachusetts,8550,1102,55,443,836,1088,1354,1300,1139,1233
2009,Michigan,4429,1488,76,286,446,430,439,485,365,414
2009,Mid-American,2552,670,36,173,265,275,311,290,262,270
2009,Minnesota,12250,1417,75,359,715,1544,2308,2277,1881,1674
2009,New England,6680,1136,53,359,620,896,981,880,770,985
2009,New York,5264,1029,70,271,516,611,700,709,634,724
2009,Northern Plains,2193,465,28,163,254,288,290,278,217,210
2009,Pacific,4158,2203,51,163,263,316,333,309,247,273
2009,Rocky Mountain,3992,1949,59,264,325,318,341,312,230,194
2009,Southeastern,2912,1179,72,185,309,267,265,286,199,150
2010,Atlantic,2600,784,64,217,297,296,292,317,192,141
2010,Central,6700,1362,78,357,594,761,892,905,862,889
2010,Massachusetts,9102,1297,65,432,838,1147,1313,1373,1220,1417
2010,Michigan,4883,1697,89,296,406,457,485,543,419,491
2010,Mid-American,2833,726,43,177,287,262,301,317,319,401
2010,Minnesota,12573,1518,68,354,737,1564,2328,2229,1959,1816
2010,New England,6865,1201,68,347,601,895,996,914,779,1064
2010,New York,5534,1090,54,309,501,600,770,725,709,776
2010,Northern Plains,2514,538,27,183,273,286,323,344,262,278
2010,Pacific,4574,2475,51,181,266,321,310,344,294,332
2010,Rocky Mountain,4257,2105,68,225,300,369,364,320,277,229
2010,Southeastern,3174,1308,52,166,281,275,301,318,259,214
2011,Atlantic,2785,808,72,219,305,338,375,321,220,127
2011,Central,6860,1362,57,380,562,771,925,957,868,978
2011,Massachusetts,9564,1238,61,485,792,1249,1399,1471,1334,1535
2011,Michigan,4620,1654,87,251,377,419,512,470,417,433
2011,Mid-American,2873,722,48,184,238,277,335,346,342,381
2011,Minnesota,12697,1546,68,368,760,1615,2324,2191,2012,1813
2011,New England,6796,1160,76,301,546,909,994,906,835,1069
2011,New York,5477,1010,66,272,463,615,756,780,739,776
2011,Northern Plains,2720,579,37,171,261,318,336,375,305,338
2011,Pacific,4517,2366,57,184,266,320,347,360,316,301
2011,Rocky Mountain,4453,2184,57,234,291,372,380,362,303,270
2011,Southeastern,3330,1357,51,181,219,299,362,365,275,221
2012,Atlantic,2713,811,48,199,293,338,403,292,215,114
2012,Central,6719,1394,70,383,521,772,901,981,820,877
2012,Massachusetts,9462,1247,45,481,885,1244,1502,1448,1265,1345
2012,Michigan,4648,1666,81,255,396,440,492,454,431,433
2012,Mid-American,2813,709,51,193,211,289,342,342,342,334
2012,Minnesota,12358,1649,82,349,734,1628,2186,2124,1914,1692
2012,New England,6543,1107,59,318,537,875,976,919,806,946
2012,New York,5409,1015,63,277,451,673,760,777,653,740
2012,Northern Plains,2730,628,15,186,238,306,376,350,297,334
2012,Pacific,4595,2516,60,176,246,320,334,341,274,328
2012,Rocky Mountain,4395,2169,79,210,321,368,345,388,268,247
2012,Southeastern,3315,1341,39,158,229,335,371,365,244,233
2013,Atlantic,2932,839,56,209,286,408,384,312,248,190
2013,Central,6868,1484,88,352,496,813,927,941,796,971
2013,Massachusetts,9816,1368,63,480,986,1347,1501,1484,1231,1356
2013,Michigan,4613,1665,75,266,364,469,442,465,399,468
2013,Mid-American,2884,683,36,178,218,296,362,355,366,390
2013,Minnesota,12561,1817,68,364,698,1654,2141,2106,1896,1817
2013,New England,6645,1148,51,279,543,881,963,943,816,1021
2013,New York,5344,1059,57,262,472,654,718,765,598,759
2013,Northern Plains,2853,633,32,183,291,302,369,330,329,384
2013,Pacific,4740,2588,56,156,274,329,332,336,285,384
2013,Rocky Mountain,4491,2260,59,188,305,347,395,365,301,271
2013,Southeastern,3483,1396,62,146,258,346,396,362,275,242
2014,Atlantic,3056,840,57,214,364,454,373,353,251,150
2014,Central,7076,1550,77,341,508,832,1033,979,820,936
2014,Massachusetts,10310,1494,55,503,979,1416,1558,1533,1298,1474
2014,Michigan,4794,1766,94,275,400,465,447,476,397,474
2014,Mid-American,2939,665,53,163,232,318,362,390,380,376
2014,Minnesota,12808,1853,55,392,766,1610,2138,2103,1995,1896
2014,New England,6611,1042,52,336,527,874,956,959,827,1038
2014,New York,5339,1025,50,243,522,644,754,702,633,766
2014,Northern Plains,2988,633,35,176,252,358,379,387,376,392
2014,Pacific,5128,2649,48,178,298,343,418,403,339,452
2014,Rocky Mountain,4838,2334,61,228,326,366,454,380,356,333
2014,Southeastern,3857,1527,56,167,303,364,448,412,316,264
2015,Atlantic,3199,833,41,196,421,405,422,422,281,178
2015,Central,7536,1568,84,341,530,869,1020,1059,957,1108
2015,Massachusetts,10527,1575,65,568,985,1446,1575,1499,1321,1493
2015,Michigan,4984,1829,87,268,427,437,464,493,442,537
2015,Mid-American,3089,715,40,156,235,325,391,394,373,460
2015,Minnesota,13354,1885,54,405,755,1653,2105,2207,2104,2186
2015,New England,6691,998,70,319,538,868,1020,917,865,1096
2015,New York,5666,995,43,281,531,652,769,758,694,943
2015,Northern Plains,3189,658,20,192,257,380,357,427,433,465
2015,Pacific,5639,2760,43,194,325,362,469,475,498,513
2015,Rocky Mountain,5064,2315,65,213,342,444,470,467,379,369
2015,Southeastern,4138,1548,44,206,323,441,464,403,367,342
2016,Atlantic,3370,826,43,222,376,395,447,403,365,293
2016,Central,8061,1627,74,360,534,882,1067,1140,1049,1328
2016,Massachusetts,10693,1523,69,545,1060,1446,1552,1550,1381,1567
2016,Michigan,5105,1789,80,283,379,428,497,484,504,661
2016,Mid-American,3119,700,52,168,241,316,383,391,418,450
2016,Minnesota,13580,1900,47,421,764,1617,2136,2259,2162,2274
2016,New England,6655,844,49,309,509,882,1041,931,929,1161
2016,New York,5861,1015,48,288,507,700,733,760,760,1050
2016,Northern Plains,3310,661,29,164,295,370,378,442,446,525
2016,Pacific,6054,2731,55,209,342,421,488,594,589,625
2016,Rocky Mountain,5424,2333,49,231,362,479,466,477,531,496
2016,Southeastern,4600,1450,46,215,344,480,472,451,574,568
2017,Atlantic,3617,825,54,257,350,438,480,440,445,328
2017,Central,8702,1740,76,333,604,923,1059,1205,1262,1500
2017,Massachusetts,10855,1459,62,606,1060,1461,1524,1581,1497,1605
2017,Michigan,5041,1744,64,268,367,432,478,479,532,677
2017,Mid-American,3308,704,49,170,268,360,401,420,505,431
2017,Minnesota,13883,1862,58,410,714,1559,2179,2298,2375,2428
2017,New England,6787,838,54,316,528,935,967,980,885,1284
2017,New York,5992,995,53,289,532,688,734,796,818,1087
2017,Northern Plains,3367,690,30,178,294,354,379,472,437,533
2017,Pacific,6702,2847,47,226,360,471,577,718,695,761
2017,Rocky Mountain,5929,2435,64,247,391,443,555,605,624,565
2017,Southeastern,5172,1555,67,214,395,457,516,640,654,674
2018,Atlantic,3740,838,55,242,381,455,470,512,457,330
2018,Central,9050,1755,90,376,685,957,1153,1304,1281,1449
2018,Massachusetts,11367,1492,77,659,1086,1453,1596,1658,1567,1779
2018,Michigan,5266,1806,105,272,330,432,475,521,560,766
2018,Mid-American,3586,751,55,170,251,356,450,553,547,453
2018,Minnesota,14223,1885,62,405,753,1587,2236,2394,2424,2477
2018,New England,6837,801,51,283,560,906,988,988,955,1305
2018,New York,6414,1128,87,300,556,653,733,866,868,1222
2018,Northern Plains,3497,722,25,187,289,345,428,470,472,559
2018,Pacific,7182,2967,54,236,388,527,656,792,776,786
2018,Rocky Mountain,6176,2506,90,225,403,487,616,690,640,519
2018,Southeastern,5470,1651,65,244,425,501,583,724,683,594
2019,Atlantic,3890,829,75,237,414,515,480,542,484,314
