"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",20 & Over,18,773,170,1,704,978,258,49,35,319,57,0,188,382,100,31,11,19,15,184,216,887,"1,326","1,044",1,88,
"",,,,,,,,,,,,,0,,,,,,,,,,,,,,,
"",19,0,15,4,0,20,17,10,1,3,8,3,0,5,21,7,5,0,1,2,15,7,31,54,59,0,11,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",17-18,4,38,19,0,47,81,65,7,11,31,5,0,22,145,26,10,4,19,2,102,70,315,250,177,0,14,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",15-16,4,112,26,1,98,114,188,4,3,37,9,0,26,205,23,20,3,17,5,232,110,642,420,380,1,29,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",13-14,4,125,38,2,112,207,297,3,5,58,10,0,39,236,34,18,4,15,2,192,113,946,493,"1,296",0,36,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",11-12,7,167,37,1,102,196,353,4,15,61,12,0,35,244,34,20,10,16,1,176,94,"1,203",582,"1,959",4,34,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",9-10,8,178,45,3,73,144,285,3,7,56,11,0,27,314,23,30,10,11,0,112,59,"1,130",531,"2,009",3,48,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",7-8,4,114,11,2,54,127,221,0,4,25,6,0,25,223,24,19,9,5,2,114,26,"1,160",399,"1,714",2,25,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",6 & Under,6,121,10,0,25,66,187,1,1,34,9,0,20,153,16,35,5,6,0,119,12,"1,332",350,"1,225",2,17,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Total,55,"1,643",360,10,"1,235","1,930","1,864",72,84,629,122,0,387,"1,923",287,188,56,109,29,"1,246",707,"7,646","4,405","9,863",13,302,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",20 & Over,231,8,20,278,209,71,691,147,32,308,2,60,384,154,91,43,8,46,121,151,316,174,427,19,376,102,,"12,323",
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",19,11,0,1,3,5,0,47,8,5,8,0,4,12,17,1,1,3,0,4,9,18,16,8,7,32,1,,520,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",17-18,20,4,3,60,48,10,261,16,67,56,4,20,115,62,16,9,37,3,26,22,56,31,30,9,214,22,,"2,685",
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",15-16,48,7,3,93,117,11,466,16,102,82,2,19,198,73,56,7,58,23,53,34,93,58,41,18,308,27,,"4,722",
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",13-14,52,7,9,155,168,20,530,28,159,99,4,8,133,89,89,2,54,15,55,32,201,51,26,18,471,33,,"6,793",
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",11-12,54,3,7,131,154,19,632,23,191,130,4,7,104,95,102,7,37,10,45,27,196,48,57,12,491,26,,"7,979",
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",9-10,51,10,2,153,139,21,564,18,133,126,0,7,85,64,93,9,34,10,36,11,161,39,61,19,468,27,,"7,461",
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",7-8,39,16,0,111,85,12,465,13,84,86,2,7,44,45,110,9,33,4,17,18,130,25,49,14,407,27,,"6,167",
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",6 & Under,49,13,2,110,31,17,466,2,80,52,4,0,14,33,133,9,36,6,9,7,135,13,38,21,455,25,,"5,512",
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Total,555,68,47,"1,094",956,181,"4,122",271,853,947,22,132,"1,089",632,691,96,300,117,366,311,"1,306",455,737,137,"3,222",290,,"54,162",
