District,State,Total,20&over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,61,35,4,5,3,7,2,2,1,2
Atlantic,NJ,"1,125",224,10,94,139,156,163,146,120,73
Atlantic,E PA,"1,279",442,30,147,180,172,131,95,56,26
Central,IL,"2,076",455,24,134,240,244,312,278,230,159
Central,IA,185,28,3,11,13,19,24,25,30,32
Central,KS,51,14,0,2,3,8,11,10,2,1
Central,MO,371,110,7,19,29,32,51,43,31,49
Central,NE,89,6,0,3,6,4,16,22,13,19
Central,WI,"3,311",492,28,163,289,483,494,434,439,489
Massachusetts,MA,"7,766","1,053",53,396,708,"1,084","1,209","1,235","1,001","1,027"
Michigan,MI,"4,492","1,496",60,288,423,517,499,463,409,337
Mid-American,IN,292,98,4,6,29,30,28,36,24,37
Mid-American,KY,125,31,2,13,21,18,13,8,8,11
Mid-American,OH,"1,088",375,18,53,86,128,139,128,98,63
Mid-American,W PA,720,169,14,59,80,105,92,85,58,58
Mid-American,WV,114,18,0,7,13,16,11,16,11,22
Minnesota,MN,"11,489","1,330",77,326,655,"1,404","2,131","2,281","1,895","1,390"
New England,CT,"2,197",292,8,116,229,356,373,308,282,233
New England,ME,"1,217",166,9,116,185,199,142,131,120,149
New England,NH,"1,206",287,1,59,110,125,190,175,140,119
New England,RI,868,134,4,41,77,106,95,121,107,183
New England,VT,"1,236",260,3,47,80,199,195,152,140,160
New York,NY,"4,727",810,40,280,462,640,666,633,592,604
Northern Plains,MT,602,280,3,42,47,50,38,49,50,43
Northern Plains,ND,887,21,9,54,122,184,153,133,122,89
Northern Plains,SD,352,14,3,39,65,62,50,37,42,40
Northern Plains,WY,313,104,6,21,31,27,35,35,24,30
Pacific,AK,"1,670",782,15,60,81,151,180,148,120,133
Pacific,CA,"1,452",839,22,70,99,104,99,106,72,41
Pacific,HI,2,0,0,2,0,0,0,0,0,0
Pacific,NV,70,34,0,1,7,6,8,4,3,7
Pacific,OR,123,63,0,10,12,10,8,13,4,3
Pacific,WA,814,485,17,29,24,61,52,58,40,48
Rocky Mountain,AZ,295,99,1,12,40,35,48,26,23,11
Rocky Mountain,CO,"2,084","1,049",28,88,199,218,174,143,114,71
Rocky Mountain,ID,528,268,6,22,46,42,39,29,42,34
Rocky Mountain,NM,180,55,2,14,27,21,17,16,16,12
Rocky Mountain,OK,34,17,0,0,3,3,1,4,4,2
Rocky Mountain,TX,595,300,4,33,56,53,51,55,21,22
Rocky Mountain,UT,369,196,8,30,33,33,15,30,14,10
Southeastern,AL,100,46,0,5,5,6,8,16,10,4
Southeastern,AR,18,9,0,1,0,2,2,1,2,1
Southeastern,DC,102,45,2,9,4,16,9,10,6,1
Southeastern,FL,630,334,10,38,42,49,61,27,25,44
Southeastern,GA,156,63,2,7,10,18,15,16,12,13
Southeastern,LA,36,21,1,3,2,0,2,3,0,4
Southeastern,MD,788,238,13,73,129,104,88,66,54,23
Southeastern,MS,20,2,0,0,0,4,5,2,1,6
Southeastern,NC,355,205,2,20,27,32,23,28,11,7
Southeastern,SC,85,36,1,4,6,10,9,5,9,5
Southeastern,TN,136,53,1,12,13,13,10,10,11,13
Southeastern,VA,549,214,8,44,56,55,52,54,44,22
Totals,,"59,430","14,197",563,"3,128","5,246","7,421","8,239","7,951","6,703","5,982"
